name,ab10000-100,ab10000-1000,jmeter1
open_file_cache_min_uses,"(6708.99, 6497.76, 6682.98)","(5639.07, 5582.87, 5555.34)","(3015.15, 3050.92, 3039.10)"
open_file_cache_valid,"(6591.46, 6812.16, 6691.67)","(5823.01, 5673.49, 5579.17)","(3080.31, 3005.36, 3045.68)"
output_buffers,"(6379.98, 7021.65, 6856.79)","(5374.44, 5600.52, 5417.49)","(2899.02, 3117.38, 3095.18)"
port_in_redirect,"(6755.62, 6384.09)","(5574.36, 5594.08)","(3048.85, 3041.21)"
postpone_output,"(6737.52, 6720.72, 6532.55)","(5582.05, 5590.24, 5590.78)","(3029.05, 3041.00, 3033.65)"
read_ahead,"(6922.50, 6890.51, 6905.41)","(5631.71, 5597.16, 5597.84)","(3019.39, 3036.86, 3039.32)"
recursive_error_pages,"(6400.62, 6746.06)","(5342.91, 5395.08)","(3146.54, 2945.45)"
request_pool_size,"(6962.85, 6996.95, 6736.55)","(5627.97, 5561.50, 5607.23)","(3160.30, 3139.35, 3066.66)"
reset_timedout_connection,"(6767.20, 6681.12)","(5617.50, 5612.85)","(3029.07, 3039.80)"
resolver,"(6805.55, 6794.73, 6481.58, 6683.14, 6925.58, 6611.14)","(5466.24, 5500.12, 5688.79, 5692.85, 5559.59, 5589.21)","(2923.98, 3122.72, 2954.27, 3044.17, 2926.42, 2959.48)"
resolver_timeout,"(6905.08, 6725.82, 6982.82)","(5628.14, 5569.09, 5574.39)","(3180.31, 3008.33, 3139.55)"
root,"(6512.82, 6925.53, 6659.47)","(5548.79, 5629.37, 5576.02)","(3027.54, 3046.63, 3029.09)"
satisfy,"(6557.29, 6559.17)","(5754.27, 5455.31)","(3105.92, 3008.18)"
send_lowat,"(6714.05, 6928.23, 6674.52)","(5814.83, 5462.67, 5780.07)","(3020.54, 3049.92, 3034.29)"
send_timeout,"(6429.13, 6746.23, 6467.81)","(5372.01, 5557.09, 5580.91)","(3176.25, 2952.20, 3083.62)"
sendfile,"(6978.37, 'error')","(5747.95, 5679.39)","(2916.01, 3154.03)"
sendfile_max_chunk,"(7053.20, 6503.49, 6374.59)","(5905.01, 5825.07, 5403.81)","(3140.71, 3049.11, 2974.45)"
server,"(6436.95, 6712.44, 6517.42)","(5658.96, 5553.02, 5646.12)","(3069.43, 3012.11, 3005.05)"
server_name,"(6749.88, 6660.74, 6548.50)","(5455.76, 5704.72, 5648.13)","(3145.97, 3094.71, 2939.66)"
