name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
mapreduce.shuffle.transferTo.allowed,"(262.00, 390.00, 384.00)","(271026.00, 258290.00, 267629.00)","(451.00, 385.00, 340.00)"
mapreduce.reduce.shuffle.read.timeout,"(261.00, 377.00, 382.00)","(255154.00, 260123.00, 260648.00)","(385.00, 388.00, 389.00)"
mapreduce.reduce.shuffle.connect.timeout,"(262.00, 387.00, 387.00)","(268535.00, 264910.00, 257463.00)","(397.00, 382.00, 391.00)"
mapreduce.map.node-label-expression,"(260.00, 379.00, 368.00)","(236338.00, 274035.00, 248265.00)","(410.00, 370.00, 407.00)"
mapreduce.job.reducer.unconditional-preempt.delay.sec,"(323.00, 385.00, 390.00)","(288013.00, 281149.00, 236849.00)","(414.00, 369.00, 388.00)"
mapreduce.job.reducer.preempt.delay.sec,"(262.00, 381.00, 367.00)","(288738.00, 240854.00, 267911.00)","(315.00, 420.00, 435.00)"
mapreduce.job.reduce.slowstart.completedmaps,"(322.00, 359.00, 359.00)","(300647.00, 265476.00, 237789.00)","(465.00, 401.00, 451.00)"
mapreduce.jobhistory.move.thread-count,"(262.00, 370.00, 356.00)","(246355.00, 254722.00, 247512.00)","(377.00, 387.00, 390.00)"
mapreduce.job.local-fs.single-disk-limit.check.interval-ms,"(262.00, 381.00, 385.00)","(222181.00, 252677.00, 284114.00)","(387.00, 387.00, 389.00)"
mapreduce.job.end-notification.max.retry.interval,"(261.00, 388.00, 387.00)","(251558.00, 259768.00, 254138.00)","(375.00, 383.00, 398.00)"
mapreduce.task.skip.start.attempts,"(262.00, 368.00, 373.00)","(247958.00, 253642.00, 249749.00)","(353.00, 378.00, 354.00)"
mapreduce.reduce.skip.proc-count.auto-incr,"(261.00, 374.00)","(258908.00, 258262.00)","(320.00, 348.00)"
mapreduce.reduce.merge.inmem.threshold,"(262.00, 364.00, 379.00)","(270820.00, 253731.00, 252801.00)","(417.00, 397.00, 362.00)"
mapreduce.jobhistory.cleaner.enable,"(260.00, 386.00)","(246429.00, 253115.00)","(333.00, 385.00)"
mapreduce.job.tags,"(261.00, 390.00, 369.00)","(251514.00, 260510.00, 262901.00)","(385.00, 391.00, 389.00)"
mapreduce.job.node-label-expression,"(260.00, 382.00, 372.00)","(216100.00, 224140.00, 223458.00)","(381.00, 384.00, 389.00)"
mapreduce.job.local-fs.single-disk-limit.bytes,"(263.00, 389.00, 372.00)","(278383.00, 244409.00, 277249.00)","(405.00, 384.00, 394.00)"
mapreduce.input.lineinputformat.linespermap,"(261.00, 365.00, 371.00)","(249656.00, 260493.00, 263502.00)","(459.00, 394.00, 447.00)"
mapreduce.client.progressmonitor.pollinterval,"(221.00, 377.00, 390.00)","(249540.00, 264937.00, 253946.00)","(335.00, 348.00, 357.00)"
