name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
yarn.resourcemanager.submission-preprocessor.file-path,"(386.00, 374.00, 370.00)","(247867.00, 249898.00, 253788.00)","(395.00, 394.00, 389.00)"
yarn.timeline-service.handler-thread-count,"(374.00, 373.00, 374.00)","(254449.00, 255545.00, 261826.00)","(382.00, 392.00, 384.00)"
yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,"(376.00, 372.00, 375.00)","(259859.00, 258668.00, 259153.00)","(385.00, 388.00, 387.00)"
yarn.ipc.rpc.class,"(385.00, 362.00, 384.00)","(252653.00, 262800.00, 261772.00)","(369.00, 403.00, 397.00)"
yarn.resourcemanager.address,"(372.00, 372.00, 374.00)","(251480.00, 261587.00, 252261.00)","(392.00, 391.00, 389.00)"
yarn.resourcemanager.auto-update.containers,"(375.00, 372.00)","(258845.00, 258519.00)","(387.00, 387.00)"
yarn.resourcemanager.client.thread-count,"(361.00, 364.00, 383.00)","(248472.00, 256699.00, 252867.00)","(390.00, 388.00, 389.00)"
yarn.resourcemanager.amlauncher.thread-count,"(374.00, 373.00, 373.00)","(258514.00, 258545.00, 258574.00)","(400.00, 385.00, 384.00)"
yarn.resourcemanager.nodemanager-connect-retries,"(383.00, 373.00, 376.00)","(258328.00, 258719.00, 258811.00)","(395.00, 389.00, 387.00)"
yarn.dispatcher.cpu-monitor.samples-per-min,"(356.00, 361.00, 378.00)","(259984.00, 259476.00, 259514.00)","(402.00, 390.00, 376.00)"
yarn.resourcemanager.principal,"(369.00, 373.00, 375.00)","(269603.00, 265346.00, 263900.00)","(389.00, 388.00, 387.00)"
yarn.resourcemanager.scheduler.client.thread-count,"(377.00, 376.00, 374.00)","(260704.00, 257746.00, 258863.00)","(391.00, 386.00, 386.00)"
yarn.resourcemanager.placement-constraints.handler,"(379.00, 371.00, 370.00)","(267259.00, 253278.00, 265054.00)","(383.00, 390.00, 386.00)"
yarn.resourcemanager.placement-constraints.retry-attempts,"(391.00, 382.00, 358.00)","(260270.00, 257644.00, 259551.00)","(371.00, 398.00, 371.00)"
yarn.resourcemanager.placement-constraints.algorithm.class,"(364.00, 370.00, 374.00)","(255703.00, 261442.00, 256202.00)","(388.00, 388.00, 388.00)"
yarn.resourcemanager.placement-constraints.algorithm.iterator,"(384.00, 377.00, 381.00)","(255295.00, 256519.00, 260540.00)","(386.00, 390.00, 387.00)"
yarn.resourcemanager.application-master-service.processors,"(366.00, 372.00, 372.00)","(261138.00, 259170.00, 261037.00)","(383.00, 389.00, 389.00)"
yarn.resourcemanager.webapp.address,"(364.00, 371.00, 367.00)","(251079.00, 256887.00, 254486.00)","(394.00, 392.00, 383.00)"
yarn.resourcemanager.webapp.spnego-keytab-file,"(358.00, 361.00, 384.00)","(260842.00, 259597.00, 258684.00)","(398.00, 382.00, 388.00)"
yarn.resourcemanager.webapp.spnego-principal,"(356.00, 366.00, 383.00)","(258978.00, 258300.00, 258743.00)","(396.00, 387.00, 391.00)"
yarn.resourcemanager.webapp.ui-actions.enabled,"(366.00, 372.00)","(253845.00, 259112.00)","(401.00, 376.00)"
yarn.webapp.ui2.enable,"(369.00, 372.00)","(270817.00, 254392.00)","(379.00, 388.00)"
yarn.webapp.ui2.war-file-path,"(358.00, 370.00, 369.00)","(266307.00, 256634.00, 260801.00)","(382.00, 384.00, 393.00)"
yarn.resourcemanager.resource-tracker.address,"(369.00, 373.00, 376.00)","(260765.00, 256687.00, 256613.00)","(393.00, 391.00, 387.00)"
yarn.resourcemanager.resource-tracker.nm.ip-hostname-check,"(367.00, 369.00)","(251921.00, 252144.00)","(375.00, 387.00)"
yarn.acl.enable,"(376.00, 375.00)","(264698.00, 253394.00)","(378.00, 389.00)"
yarn.acl.reservation-enable,"(391.00, 362.00)","(267962.00, 258733.00)","(393.00, 387.00)"
yarn.admin.acl,"(377.00, 375.00, 374.00)","(250584.00, 261269.00, 251349.00)","(396.00, 389.00, 381.00)"
yarn.resourcemanager.admin.address,"(367.00, 376.00, 370.00)","(264945.00, 262122.00, 260302.00)","(384.00, 391.00, 385.00)"
yarn.resourcemanager.admin.client.thread-count,"(392.00, 370.00, 384.00)","(253156.00, 257579.00, 261376.00)","(403.00, 390.00, 397.00)"
yarn.resourcemanager.connect.max-wait.ms,"(372.00, 373.00, 373.00)","(268385.00, 250499.00, 255492.00)","(370.00, 382.00, 379.00)"
yarn.resourcemanager.connect.retry-interval.ms,"(386.00, 361.00, 378.00)","(261534.00, 260580.00, 260771.00)","(391.00, 389.00, 390.00)"
yarn.resourcemanager.am.max-attempts,"(375.00, 374.00, 372.00)","(259416.00, 259031.00, 258502.00)","(390.00, 386.00, 390.00)"
yarn.resourcemanager.container.liveness-monitor.interval-ms,"(383.00, 372.00, 377.00)","(251838.00, 259139.00, 264125.00)","(374.00, 389.00, 396.00)"
yarn.resourcemanager.keytab,"(387.00, 383.00, 361.00)","(247407.00, 269008.00, 252884.00)","(372.00, 399.00, 384.00)"
yarn.resourcemanager.webapp.cross-origin.enabled,"(384.00, 371.00)","(267639.00, 253064.00)","(405.00, 392.00)"
yarn.resourcemanager.nodes.include-path,"(373.00, 373.00, 373.00)","(249722.00, 265240.00, 267426.00)","(407.00, 394.00, 402.00)"
yarn.resourcemanager.nodes.exclude-path,"(366.00, 375.00, 367.00)","(269730.00, 265674.00, 262745.00)","(401.00, 396.00, 390.00)"
yarn.resourcemanager.resource-tracker.client.thread-count,"(372.00, 373.00, 374.00)","(257781.00, 259196.00, 258060.00)","(381.00, 388.00, 390.00)"
yarn.scheduler.maximum-allocation-mb,"(370.00, 373.00, 373.00)","(257256.00, 259755.00, 259701.00)","(389.00, 388.00, 387.00)"
yarn.scheduler.minimum-allocation-vcores,"(373.00, 373.00, 373.00)","(259475.00, 257850.00, 259448.00)","(385.00, 390.00, 391.00)"
yarn.scheduler.maximum-allocation-vcores,"(375.00, 374.00, 374.00)","(259130.00, 258466.00, 258218.00)","(390.00, 388.00, 388.00)"
yarn.scheduler.include-port-in-node-name,"(372.00, 373.00)","(259081.00, 259025.00)","(389.00, 387.00)"
yarn.resourcemanager.fail-fast,"(355.00, 384.00, 386.00)","(259145.00, 259050.00, 258911.00)","(400.00, 377.00, 391.00)"
yarn.fail-fast,"(389.00, 375.00)","(246208.00, 269678.00)","(376.00, 393.00)"
yarn.resourcemanager.work-preserving-recovery.enabled,"(386.00, 365.00)","(260312.00, 259443.00)","(389.00, 388.00)"
yarn.resourcemanager.store.class,"(362.00, 372.00, 374.00)","(260923.00, 257804.00, 260130.00)","(389.00, 388.00, 387.00)"
yarn.resourcemanager.zk-state-store.parent-path,"(366.00, 368.00, 370.00)","(250006.00, 263010.00, 254894.00)","(381.00, 388.00, 395.00)"
yarn.resourcemanager.zk-state-store.root-node.acl,"(380.00, 379.00, 371.00)","(255618.00, 260104.00, 256136.00)","(385.00, 387.00, 390.00)"
yarn.resourcemanager.fs.state-store.uri,"(368.00, 371.00, 371.00)","(256335.00, 259499.00, 259943.00)","(370.00, 384.00, 371.00)"
yarn.resourcemanager.fs.state-store.num-retries,"(376.00, 374.00, 375.00)","(252871.00, 256048.00, 259203.00)","(384.00, 390.00, 385.00)"
yarn.resourcemanager.leveldb-state-store.path,"(384.00, 373.00, 383.00)","(268531.00, 256751.00, 251293.00)","(399.00, 388.00, 387.00)"
yarn.resourcemanager.leveldb-state-store.compaction-interval-secs,"(261.00, 467.00, 438.00)","(249898.00, 254221.00, 255910.00)","(379.00, 394.00, 382.00)"
yarn.resourcemanager.ha.automatic-failover.enabled,"(356.00, 358.00)","(265999.00, 257036.00)","(372.00, 377.00)"
yarn.resourcemanager.ha.automatic-failover.embedded,"(381.00, 379.00)","(257865.00, 259155.00)","(402.00, 374.00)"
yarn.resourcemanager.ha.automatic-failover.zk-base-path,"(381.00, 378.00, 367.00)","(269603.00, 251152.00, 250796.00)","(370.00, 405.00, 391.00)"
yarn.resourcemanager.zk-appid-node.split-index,"(369.00, 372.00, 373.00)","(267928.00, 250849.00, 250234.00)","(386.00, 388.00, 388.00)"
yarn.resourcemanager.zk-delegation-token-node.split-index,"(387.00, 376.00, 364.00)","(267625.00, 256226.00, 262431.00)","(376.00, 388.00, 379.00)"
yarn.resourcemanager.zk-max-znode-size.bytes,"(366.00, 377.00, 366.00)","(267521.00, 264356.00, 255520.00)","(379.00, 383.00, 384.00)"
yarn.resourcemanager.cluster-id,"(387.00, 376.00, 371.00)","(264291.00, 263557.00, 259054.00)","(392.00, 391.00, 387.00)"
yarn.resourcemanager.epoch.range,"(358.00, 360.00, 358.00)","(266090.00, 256443.00, 261943.00)","(388.00, 388.00, 388.00)"
yarn.resourcemanager.ha.id,"(364.00, 369.00, 378.00)","(259381.00, 257832.00, 258179.00)","(385.00, 391.00, 390.00)"
yarn.client.failover-proxy-provider,"(378.00, 377.00, 375.00)","(264351.00, 254321.00, 263193.00)","(403.00, 393.00, 380.00)"
yarn.client.failover-no-ha-proxy-provider,"(360.00, 366.00, 372.00)","(268261.00, 257303.00, 250563.00)","(401.00, 388.00, 395.00)"
yarn.client.failover-max-attempts,"(390.00, 359.00, 372.00)","(260635.00, 258807.00, 258950.00)","(391.00, 389.00, 388.00)"
yarn.client.failover-sleep-base-ms,"(359.00, 379.00, 373.00)","(262816.00, 256362.00, 259524.00)","(405.00, 394.00, 373.00)"
yarn.client.failover-sleep-max-ms,"(356.00, 366.00, 366.00)","(271397.00, 251918.00, 265827.00)","(396.00, 387.00, 380.00)"
yarn.client.failover-retries,"(390.00, 382.00, 362.00)","(247494.00, 256399.00, 259323.00)","(394.00, 389.00, 389.00)"
yarn.client.failover-retries-on-socket-timeouts,"(388.00, 366.00, 361.00)","(254653.00, 261848.00, 262242.00)","(375.00, 385.00, 384.00)"
yarn.resourcemanager.max-completed-applications,"(384.00, 374.00, 381.00)","(252112.00, 252765.00, 260396.00)","(402.00, 377.00, 375.00)"
yarn.resourcemanager.delayed.delegation-token.removal-interval-ms,"(357.00, 387.00, 380.00)","(254820.00, 261750.00, 261266.00)","(372.00, 398.00, 400.00)"
yarn.resourcemanager.am-rm-tokens.master-key-rolling-interval-secs,"(378.00, 377.00, 373.00)","(261582.00, 256527.00, 257142.00)","(381.00, 388.00, 383.00)"
yarn.resourcemanager.container-tokens.master-key-rolling-interval-secs,"(362.00, 371.00, 380.00)","(258249.00, 258860.00, 258816.00)","(393.00, 390.00, 390.00)"
yarn.resourcemanager.nodemanagers.heartbeat-interval-ms,"(390.00, 361.00, 385.00)","(267636.00, 256165.00, 259170.00)","(376.00, 396.00, 390.00)"
yarn.resourcemanager.nodemanagers.heartbeat-interval-scaling-enable,"(384.00, 371.00)","(254170.00, 256590.00)","(391.00, 386.00)"
yarn.resourcemanager.nodemanagers.heartbeat-interval-min-ms,"(373.00, 373.00, 373.00)","(254491.00, 256897.00, 258092.00)","(380.00, 389.00, 384.00)"
yarn.resourcemanager.nodemanagers.heartbeat-interval-max-ms,"(390.00, 358.00, 367.00)","(256792.00, 257249.00, 259340.00)","(404.00, 395.00, 384.00)"
yarn.resourcemanager.nodemanagers.heartbeat-interval-slowdown-factor,"(363.00, 381.00, 378.00)","(250292.00, 257953.00, 261408.00)","(394.00, 384.00, 390.00)"
yarn.resourcemanager.nodemanager.minimum.version,"(379.00, 374.00, 374.00)","(254636.00, 258959.00, 257373.00)","(384.00, 391.00, 391.00)"
yarn.resourcemanager.scheduler.monitor.enable,"(384.00, 382.00)","(270138.00, 262267.00)","(400.00, 380.00)"
yarn.resourcemanager.configuration.provider-class,"(383.00, 373.00, 364.00)","(246240.00, 267407.00, 268342.00)","(385.00, 386.00, 390.00)"
yarn.resourcemanager.configuration.file-system-based-store,"(355.00, 375.00, 386.00)","(248483.00, 266460.00, 256636.00)","(403.00, 384.00, 396.00)"
yarn.resourcemanager.system-metrics-publisher.enabled,"(378.00, 368.00)","(252475.00, 252650.00)","(385.00, 388.00)"
yarn.system-metrics-publisher.enabled,"(372.00, 373.00)","(260110.00, 259841.00)","(392.00, 390.00)"
yarn.rm.system-metrics-publisher.emit-container-events,"(370.00, 372.00)","(248649.00, 264810.00)","(393.00, 383.00)"
yarn.resourcemanager.max-log-aggregation-diagnostics-in-memory,"(376.00, 374.00, 373.00)","(271320.00, 259308.00, 269546.00)","(373.00, 390.00, 390.00)"
yarn.resourcemanager.delegation.token.max-lifetime,"(259.00, 473.00, 340.00)","(268262.00, 259119.00, 253134.00)","(398.00, 390.00, 378.00)"
yarn.resourcemanager.delegation.token.renew-interval,"(389.00, 381.00, 379.00)","(269071.00, 267668.00, 249230.00)","(395.00, 390.00, 391.00)"
yarn.resourcemanager.delegation-token-renewer.thread-retry-max-attempts,"(376.00, 371.00, 376.00)","(256369.00, 258511.00, 259965.00)","(388.00, 388.00, 388.00)"
yarn.resourcemanager.delegation-token-renewer.thread-retry-interval,"(365.00, 375.00, 369.00)","(254780.00, 256267.00, 260594.00)","(379.00, 380.00, 394.00)"
yarn.resourcemanager.nm-tokens.master-key-rolling-interval-secs,"(370.00, 374.00, 374.00)","(254706.00, 258665.00, 259488.00)","(387.00, 388.00, 388.00)"
yarn.resourcemanager.reservation-system.class,"(390.00, 359.00, 361.00)","(263029.00, 254973.00, 258845.00)","(401.00, 386.00, 388.00)"
yarn.resourcemanager.reservation-system.plan.follower,"(374.00, 374.00, 374.00)","(247909.00, 266661.00, 254040.00)","(396.00, 391.00, 382.00)"
yarn.resourcemanager.rm.container-allocation.expiry-interval-ms,"(390.00, 386.00, 371.00)","(228630.00, 279788.00, 280823.00)","(378.00, 379.00, 387.00)"
yarn.resourcemanager.resource-profiles.enabled,"(260.00, 341.00)","(251731.00, 263582.00)","(386.00, 387.00)"
yarn.resourcemanager.resource-profiles.source-file,"(377.00, 374.00, 370.00)","(268321.00, 262204.00, 263817.00)","(406.00, 380.00, 390.00)"
yarn.nodemanager.hostname,"(388.00, 364.00, 373.00)","(267684.00, 266932.00, 261048.00)","(403.00, 391.00, 395.00)"
yarn.nodemanager.address,"(367.00, 376.00, 369.00)","(245758.00, 270456.00, 262488.00)","(391.00, 388.00, 388.00)"
yarn.nodemanager.bind-host,"(380.00, 369.00, 378.00)","(247053.00, 268835.00, 268999.00)","(386.00, 386.00, 387.00)"
yarn.nodemanager.admin-env,"(370.00, 372.00, 371.00)","(246754.00, 255216.00, 257679.00)","(371.00, 372.00, 388.00)"
yarn.nodemanager.force.path,"(376.00, 372.00, 371.00)","(256435.00, 257179.00, 259495.00)","(386.00, 388.00, 388.00)"
yarn.nodemanager.container-executor.exit-code-file.timeout-ms,"(378.00, 373.00, 377.00)","(247691.00, 250832.00, 258185.00)","(404.00, 400.00, 402.00)"
yarn.nodemanager.delete.debug-delay-sec,"(383.00, 383.00, 377.00)","(246760.00, 258940.00, 251119.00)","(371.00, 403.00, 400.00)"
yarn.nodemanager.keytab,"(388.00, 366.00, 367.00)","(262843.00, 261164.00, 258295.00)","(397.00, 383.00, 380.00)"
yarn.nodemanager.local-dirs,"(370.00, 376.00, 375.00)","(258415.00, 258423.00, 258673.00)","(386.00, 386.00, 387.00)"
yarn.nodemanager.local-cache.max-files-per-directory,"(374.00, 373.00, 374.00)","(259229.00, 258854.00, 258832.00)","(390.00, 390.00, 387.00)"
yarn.nodemanager.localizer.address,"(360.00, 361.00, 386.00)","(255684.00, 256543.00, 260469.00)","(371.00, 387.00, 392.00)"
yarn.nodemanager.collector-service.address,"(364.00, 367.00, 375.00)","(246973.00, 255426.00, 251983.00)","(397.00, 380.00, 388.00)"
yarn.nodemanager.emit-container-events,"(367.00, 371.00)","(247321.00, 268827.00)","(371.00, 378.00)"
yarn.nodemanager.localizer.client.thread-count,"(370.00, 376.00, 370.00)","(256946.00, 258924.00, 257161.00)","(392.00, 385.00, 387.00)"
yarn.nodemanager.container-localizer.log.level,"(387.00, 377.00, 381.00)","(264153.00, 256297.00, 260584.00)","(397.00, 386.00, 389.00)"
yarn.nodemanager.log-dirs,"(367.00, 377.00, 378.00)","(267576.00, 265861.00, 249617.00)","(403.00, 397.00, 378.00)"
yarn.nodemanager.default-container-executor.log-dirs.permissions,"(363.00, 372.00, 368.00)","(258902.00, 258259.00, 258299.00)","(405.00, 403.00, 396.00)"
yarn.resourcemanager.application-tag-based-placement.enable,"(259.00, 478.00)","(272837.00, 254105.00)","(393.00, 388.00)"
yarn.resourcemanager.application-tag-based-placement.username.whitelist,"(376.00, 372.00, 375.00)","(253749.00, 257967.00, 260524.00)","(375.00, 388.00, 388.00)"
yarn.log-aggregation.debug.filesize,"(382.00, 381.00, 366.00)","(253929.00, 258959.00, 263161.00)","(383.00, 390.00, 392.00)"
yarn.log-aggregation.file-controller.TFile.class,"(358.00, 358.00, 373.00)","(264766.00, 257798.00, 256912.00)","(407.00, 388.00, 405.00)"
yarn.nodemanager.log.retain-seconds,"(379.00, 372.00, 375.00)","(262892.00, 261348.00, 257912.00)","(374.00, 399.00, 375.00)"
yarn.nodemanager.remote-app-log-dir,"(367.00, 376.00, 373.00)","(258543.00, 258594.00, 258552.00)","(372.00, 393.00, 377.00)"
yarn.nodemanager.remote-app-log-dir-suffix,"(365.00, 379.00, 381.00)","(247223.00, 267368.00, 262610.00)","(379.00, 390.00, 385.00)"
yarn.nodemanager.remote-app-log-dir.groupname,"(367.00, 371.00, 369.00)","(267057.00, 256349.00, 264853.00)","(404.00, 380.00, 398.00)"
yarn.nodemanager.log-container-debug-info.enabled,"(378.00, 370.00)","(246546.00, 269649.00)","(376.00, 396.00)"
yarn.nodemanager.resource.memory.enforced,"(362.00, 376.00)","(269838.00, 259923.00)","(404.00, 400.00)"
yarn.nodemanager.resource.memory.cgroups.soft-limit-percentage,"(371.00, 374.00, 375.00)","(269689.00, 269309.00, 261442.00)","(382.00, 387.00, 391.00)"
yarn.nodemanager.resource.memory.cgroups.swappiness,"(383.00, 378.00, 377.00)","(254433.00, 254443.00, 262262.00)","(372.00, 392.00, 397.00)"
yarn.nodemanager.resource.pcores-vcores-multiplier,"(372.00, 374.00, 374.00)","(248944.00, 257059.00, 265108.00)","(386.00, 388.00, 390.00)"
yarn.nodemanager.logaggregation.threadpool-size-max,"(373.00, 373.00, 374.00)","(256460.00, 260179.00, 258531.00)","(385.00, 391.00, 391.00)"
yarn.nodemanager.resource.percentage-physical-cpu-limit,"(367.00, 370.00, 373.00)","(267348.00, 254428.00, 250466.00)","(396.00, 388.00, 395.00)"
yarn.nodemanager.webapp.address,"(366.00, 370.00, 373.00)","(248104.00, 261025.00, 266374.00)","(392.00, 390.00, 385.00)"
yarn.nodemanager.webapp.https.address,"(357.00, 359.00, 367.00)","(267193.00, 253498.00, 260689.00)","(404.00, 384.00, 381.00)"
yarn.nodemanager.webapp.spnego-keytab-file,"(379.00, 372.00, 371.00)","(267744.00, 250099.00, 266947.00)","(374.00, 375.00, 396.00)"
yarn.nodemanager.webapp.spnego-principal,"(368.00, 371.00, 370.00)","(246239.00, 252001.00, 255747.00)","(406.00, 373.00, 371.00)"
yarn.nodemanager.resource-calculator.class,"(373.00, 373.00, 373.00)","(248421.00, 257590.00, 253068.00)","(396.00, 388.00, 382.00)"
yarn.nodemanager.container-log-monitor.total-size-limit-bytes,"(374.00, 373.00, 373.00)","(260035.00, 259669.00, 259204.00)","(385.00, 387.00, 389.00)"
yarn.nodemanager.health-checker.scripts,"(374.00, 373.00, 373.00)","(263791.00, 258579.00, 262676.00)","(394.00, 384.00, 393.00)"
yarn.nodemanager.health-checker.run-before-startup,"(378.00, 372.00)","(256044.00, 258916.00)","(402.00, 375.00)"
yarn.nodemanager.health-checker.interval-ms,"(370.00, 376.00, 374.00)","(258345.00, 258511.00, 258412.00)","(398.00, 391.00, 380.00)"
yarn.nodemanager.disk-health-checker.interval-ms,"(370.00, 372.00, 375.00)","(261045.00, 257326.00, 258365.00)","(385.00, 389.00, 387.00)"
yarn.nodemanager.disk-health-checker.disk-free-space-threshold.enabled,"(368.00, 378.00)","(268957.00, 265900.00)","(372.00, 390.00)"
yarn.nodemanager.linux-container-executor.path,"(374.00, 373.00, 374.00)","(258721.00, 258482.00, 258458.00)","(387.00, 389.00, 388.00)"
yarn.nodemanager.linux-container-executor.cgroups.hierarchy,"(361.00, 385.00, 375.00)","(270801.00, 254730.00, 255566.00)","(379.00, 391.00, 383.00)"
yarn.nodemanager.linux-container-executor.cgroups.mount-path,"(364.00, 377.00, 369.00)","(259534.00, 258588.00, 259209.00)","(387.00, 387.00, 387.00)"
yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users,"(391.00, 366.00)","(255910.00, 258746.00)","(393.00, 388.00)"
yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user,"(381.00, 367.00, 368.00)","(258039.00, 258742.00, 259033.00)","(384.00, 392.00, 390.00)"
yarn.nodemanager.linux-container-executor.nonsecure-mode.user-pattern,"(391.00, 381.00, 373.00)","(264898.00, 262168.00, 252978.00)","(404.00, 378.00, 396.00)"
yarn.nodemanager.runtime.linux.type,"(391.00, 357.00, 384.00)","(248956.00, 257425.00, 259700.00)","(404.00, 392.00, 392.00)"
yarn.nodemanager.runtime.linux.docker.image-name,"(381.00, 369.00, 377.00)","(259616.00, 259399.00, 257956.00)","(402.00, 401.00, 380.00)"
yarn.nodemanager.runtime.linux.docker.image-update,"(372.00, 375.00)","(256383.00, 257866.00)","(391.00, 391.00)"
yarn.nodemanager.runtime.linux.docker.privileged-containers.allowed,"(372.00, 373.00)","(256672.00, 256684.00)","(387.00, 389.00)"
yarn.nodemanager.runtime.linux.docker.default-container-network,"(382.00, 377.00, 381.00)","(267714.00, 262912.00, 255211.00)","(403.00, 401.00, 384.00)"
yarn.nodemanager.runtime.linux.docker.allowed-container-runtimes,"(370.00, 376.00, 374.00)","(258632.00, 258533.00, 258541.00)","(385.00, 385.00, 391.00)"
yarn.nodemanager.runtime.linux.docker.host-pid-namespace.allowed,"(370.00, 374.00)","(257335.00, 258962.00)","(401.00, 389.00)"
yarn.nodemanager.runtime.linux.docker.enable-userremapping.allowed,"(260.00, 420.00)","(251727.00, 253470.00)","(386.00, 388.00)"
yarn.nodemanager.runtime.linux.docker.userremapping-uid-threshold,"(388.00, 361.00, 385.00)","(262014.00, 260081.00, 259109.00)","(372.00, 378.00, 387.00)"
yarn.nodemanager.runtime.linux.docker.userremapping-gid-threshold,"(365.00, 380.00, 377.00)","(258111.00, 258277.00, 258206.00)","(404.00, 400.00, 384.00)"
yarn.nodemanager.runtime.linux.runc.image-tag-to-manifest-plugin,"(358.00, 358.00, 373.00)","(260739.00, 257110.00, 258020.00)","(402.00, 396.00, 395.00)"
yarn.nodemanager.runtime.linux.runc.manifest-to-resources-plugin,"(355.00, 374.00, 387.00)","(264700.00, 254263.00, 259390.00)","(387.00, 389.00, 388.00)"
yarn.nodemanager.runtime.linux.runc.image-toplevel-dir,"(361.00, 377.00, 361.00)","(264361.00, 255811.00, 254287.00)","(385.00, 387.00, 388.00)"
yarn.nodemanager.runtime.linux.runc.image-name,"(392.00, 386.00, 371.00)","(269842.00, 248434.00, 258082.00)","(397.00, 383.00, 394.00)"
yarn.nodemanager.runtime.linux.runc.privileged-containers.allowed,"(370.00, 376.00)","(254866.00, 257442.00)","(395.00, 388.00)"
yarn.nodemanager.runtime.linux.runc.privileged-containers.acl,"(380.00, 372.00, 375.00)","(259405.00, 258506.00, 257932.00)","(375.00, 391.00, 377.00)"
yarn.nodemanager.runtime.linux.runc.host-pid-namespace.allowed,"(369.00, 375.00)","(260415.00, 258795.00)","(399.00, 382.00)"
yarn.nodemanager.runtime.linux.runc.default-ro-mounts,"(382.00, 369.00, 382.00)","(254597.00, 254608.00, 257265.00)","(394.00, 393.00, 394.00)"
yarn.nodemanager.runtime.linux.runc.default-rw-mounts,"(372.00, 375.00, 373.00)","(257092.00, 258419.00, 258187.00)","(386.00, 387.00, 390.00)"
yarn.nodemanager.runtime.linux.runc.seccomp-profile,"(382.00, 372.00, 377.00)","(247058.00, 252865.00, 249954.00)","(383.00, 389.00, 390.00)"
yarn.nodemanager.runtime.linux.sandbox-mode,"(358.00, 368.00, 376.00)","(265336.00, 254383.00, 264840.00)","(384.00, 390.00, 390.00)"
yarn.nodemanager.runtime.linux.sandbox-mode.local-dirs.permissions,"(388.00, 360.00, 367.00)","(266480.00, 254216.00, 263880.00)","(384.00, 392.00, 386.00)"
yarn.nodemanager.log-aggregation.compression-type,"(379.00, 375.00, 372.00)","(264175.00, 253401.00, 263236.00)","(390.00, 389.00, 387.00)"
yarn.nodemanager.principal,"(388.00, 376.00, 369.00)","(252560.00, 252829.00, 253141.00)","(393.00, 384.00, 389.00)"
yarn.nodemanager.aux-services.manifest,"(364.00, 381.00, 378.00)","(256983.00, 259771.00, 260020.00)","(384.00, 386.00, 391.00)"
yarn.nodemanager.resourcemanager.minimum.version,"(390.00, 386.00, 381.00)","(257700.00, 257963.00, 259430.00)","(391.00, 388.00, 389.00)"
yarn.nodemanager.container-diagnostics-maximum-size,"(363.00, 382.00, 371.00)","(246041.00, 262566.00, 260643.00)","(399.00, 393.00, 390.00)"
yarn.nodemanager.container-retry-minimum-interval-ms,"(355.00, 356.00, 377.00)","(266857.00, 253521.00, 258933.00)","(394.00, 392.00, 384.00)"
yarn.nodemanager.recovery.supervised,"(366.00, 371.00)","(259692.00, 259203.00)","(376.00, 391.00)"
yarn.nodemanager.container-executor.os.sched.priority.adjustment,"(361.00, 380.00, 377.00)","(265748.00, 262690.00, 254226.00)","(379.00, 387.00, 383.00)"
yarn.nodemanager.container-metrics.period-ms,"(377.00, 372.00, 370.00)","(247712.00, 258952.00, 265144.00)","(388.00, 388.00, 388.00)"
yarn.nodemanager.container-monitor.process-tree.class,"(388.00, 364.00, 370.00)","(254687.00, 258416.00, 256048.00)","(383.00, 385.00, 391.00)"
yarn.nodemanager.windows-secure-container-executor.group,"(369.00, 375.00, 369.00)","(246998.00, 248849.00, 268544.00)","(374.00, 378.00, 398.00)"
yarn.nodemanager.aux-services.mapreduce_shuffle.class,"(383.00, 378.00, 365.00)","(266326.00, 261525.00, 264970.00)","(397.00, 383.00, 380.00)"
yarn.timeline-service.version,"(356.00, 381.00, 388.00)","(271121.00, 246387.00, 257087.00)","(406.00, 379.00, 394.00)"
yarn.timeline-service.http-authentication.type,"(357.00, 382.00, 366.00)","(265647.00, 251952.00, 265179.00)","(393.00, 391.00, 390.00)"
yarn.timeline-service.http-authentication.simple.anonymous.allowed,"(365.00, 366.00)","(261757.00, 257234.00)","(394.00, 393.00)"
yarn.timeline-service.client.best-effort,"(371.00, 372.00)","(266359.00, 253412.00)","(400.00, 380.00)"
yarn.timeline-service.recovery.enabled,"(386.00, 381.00)","(292466.00, 276878.00)","(382.00, 385.00)"
yarn.timeline-service.state-store-class,"(375.00, 372.00, 373.00)","(254881.00, 261708.00, 261283.00)","(388.00, 388.00, 388.00)"
yarn.timeline-service.leveldb-state-store.path,"(356.00, 375.00, 384.00)","(268257.00, 263567.00, 257825.00)","(373.00, 382.00, 379.00)"
yarn.timeline-service.entity-group-fs-store.done-dir,"(370.00, 374.00, 375.00)","(257775.00, 259010.00, 259282.00)","(377.00, 384.00, 379.00)"
yarn.timeline-service.entity-group-fs-store.retain-seconds,"(375.00, 374.00, 374.00)","(251026.00, 261722.00, 258051.00)","(402.00, 377.00, 400.00)"
yarn.timeline-service.entity-group-fs-store.leveldb-cache-read-cache-size,"(392.00, 386.00, 378.00)","(245908.00, 245960.00, 257790.00)","(397.00, 393.00, 396.00)"
yarn.timeline-service.writer.class,"(383.00, 377.00, 370.00)","(263596.00, 257701.00, 254976.00)","(395.00, 385.00, 389.00)"
yarn.timeline-service.reader.class,"(364.00, 376.00, 378.00)","(264979.00, 260463.00, 260313.00)","(378.00, 381.00, 384.00)"
