name,YCSB-100000-100000-workloadb,YCSB-1000-1000-workloada,YCSB-10000-10000-workloadc
hbase.regionserver.info.port.auto,"(32443.33, 31800.59)","(1777.17, 1777.57)","(1953.56, 1930.25)"
hbase.regionserver.handler.count,"(30970.70, 30979.17, 31026.75)","(1766.69, 1776.42, 1779.92)","(1853.15, 1879.14, 1875.24)"
hbase.ipc.server.callqueue.handler.factor,"(32554.88, 31781.89, 29918.20)","(1725.38, 1775.89, 1740.85)","(1861.84, 1864.68, 1869.34)"
hbase.ipc.server.callqueue.read.ratio,"(30769.04, 31059.45, 30887.55)","(1765.63, 1783.00, 1778.60)","(1876.04, 1867.28, 1866.42)"
hbase.ipc.server.callqueue.scan.ratio,"(31975.44, 30756.53, 31883.84)","(1795.87, 1794.07, 1790.17)","(1884.29, 1859.54, 1859.50)"
hbase.regionserver.msginterval,"(30623.37, 30630.71, 30926.20)","(0.00, 3414.66, 185.44)","(1778.11, 1785.23, 1832.23)"
hbase.regionserver.logroll.period,"(38446.75, 25667.48, 30562.29)","(1786.91, 1775.54, 1774.92)","(32010.24, 8083.28, 24236.04)"
hbase.regionserver.logroll.errors.tolerated,"(29841.40, 30938.85, 30806.76)","(1853.84, 1707.10, 1733.65)","(1919.44, 1854.50, 1835.15)"
hbase.regionserver.hlog.reader.impl,"(30179.65, 30208.50, 31615.71)","(1864.77, 1845.52, 1807.40)","(1794.91, 1839.30, 1888.65)"
hbase.regionserver.hlog.writer.impl,"(31235.34, 30995.57, 30813.02)","(1713.17, 1827.30, 1816.20)","(1844.61, 1875.97, 1858.55)"
hbase.regionserver.global.memstore.size,"(0.00, 2550.70, 17828.99)","(0.00, 92.27, 1811.84)","(1957.28, 1874.02, 1799.19)"
hbase.regionserver.global.memstore.size.lower.limit,"(29036.00, 30174.56, 31269.80)","(1574.80, 1745.38, 1851.33)","(1814.92, 1900.98, 1860.27)"
hbase.systemtables.compacting.memstore.type,"(32094.72, 31182.62, 29995.39)","(1754.05, 1787.14, 1800.73)","(1788.52, 1835.05, 1944.22)"
hbase.regionserver.optionalcacheflushinterval,"(29742.16, 31064.88, 32212.58)","(1801.72, 1800.05, 1789.07)","(1828.09, 1905.13, 1885.24)"
hbase.regionserver.dns.interface,"(31698.03, 30460.17, 31320.51)","(1798.67, 1767.03, 1777.09)","(1799.20, 1816.17, 1853.51)"
hbase.regionserver.dns.nameserver,"(30127.07, 30176.61, 31678.81)","(1837.16, 1834.74, 1830.81)","(1786.07, 1786.16, 1892.27)"
hbase.regionserver.region.split.policy,"(31509.61, 31459.96, 31359.50)","(1818.19, 1795.71, 1772.39)","(1790.59, 1808.90, 1903.97)"
hbase.regionserver.regionSplitLimit,"(32472.20, 31849.90, 32024.06)","(1761.13, 1792.68, 1785.48)","(1840.93, 1885.07, 1885.18)"
zookeeper.session.timeout,"(0.00, 49494.33, 59705.47)","(1547.99, 1936.61, 1791.27)","(32372.94, -25489.59, -14948.02)"
zookeeper.znode.parent,"(32458.24, 31879.57, 30837.58)","(1739.76, 1741.28, 1812.46)","(1926.74, 1821.99, 1897.55)"
zookeeper.znode.acl.parent,"(31391.51, 30770.44, 30933.48)","(1860.24, 1788.05, 1765.55)","(1837.55, 1888.38, 1875.70)"
hbase.zookeeper.dns.interface,"(32401.16, 30326.75, 31163.27)","(1771.45, 1777.13, 1775.33)","(1830.40, 1871.51, 1891.57)"
hbase.zookeeper.dns.nameserver,"(30056.67, 31464.43, 31968.25)","(1717.01, 1824.64, 1723.09)","(1906.13, 1836.78, 1880.39)"
hbase.zookeeper.peerport,"(31989.91, 31464.80, 30421.92)","(1827.93, 1805.61, 1739.69)","(1840.57, 1892.30, 1892.40)"
hbase.zookeeper.leaderport,"(31285.10, 30766.18, 30863.02)","(1839.04, 1768.87, 1762.02)","(1907.46, 1844.21, 1867.29)"
hbase.zookeeper.property.initLimit,"(0.00, 35689.87, 5276.09)","(1567.40, 1832.89, 1889.08)","(1894.39, 1874.61, 1880.17)"
hbase.zookeeper.property.syncLimit,"(31809.43, 31610.44, 31520.24)","(1758.98, 1771.54, 1760.87)","(1863.36, 1864.19, 1865.48)"
hbase.zookeeper.property.dataDir,"(31558.37, 31476.64, 31033.60)","(1832.04, 1819.24, 1784.96)","(1907.37, 1847.96, 1843.74)"
hbase.zookeeper.property.clientPort,"(nan, nan, 'nan')","(0.00, 2842.73, 2493.69)","(1924.20, 1844.30, 1910.18)"
hbase.zookeeper.property.maxClientCnxns,"(nan, nan, 'nan')","(0.00, 2764.98, 1956.23)","(40112.31, -32040.14, -1571.48)"
hbase.client.write.buffer,"(0.00, 30490.51, 33374.35)","(1567.40, 1912.30, 1602.37)","(1938.98, 1815.66, 1873.25)"
hbase.client.pause,"(31128.98, 30983.01, 31073.13)","(1759.84, 1761.30, 1762.68)","(31695.72, 3103.36, 3808.93)"
hbase.client.pause.server.overloaded,"(32342.30, 31455.32, 32133.33)","(1866.07, 1734.59, 1741.45)","(1943.36, 1907.69, 1898.75)"
hbase.client.retries.number,"(30364.33, 31317.51, 31291.27)","(1857.62, 1761.49, 1701.67)","(1857.50, 1878.03, 1875.92)"
hbase.client.max.total.tasks,"(36658.29, 33789.71, 31084.14)","(1703.81, 1749.24, 1745.24)","(1927.70, 1912.88, 1873.30)"
hbase.client.max.perserver.tasks,"(30120.19, 30134.45, 30532.70)","(1760.20, 1775.76, 1765.14)","(1900.94, 1836.46, 1838.84)"
hbase.client.max.perregion.tasks,"(31916.67, 31746.13, 31055.55)","(1840.52, 1827.02, 1772.99)","(1939.44, 1937.08, 1929.13)"
hbase.client.perserver.requests.threshold,"(0.00, 48744.24, 59200.41)","(0.00, 45.92, 1015.29)","(1787.25, 1937.82, 1804.80)"
hbase.client.scanner.caching,"(31253.28, 30831.56, 31001.17)","(1825.29, 1731.49, 1817.58)","(1859.87, 1871.19, 1861.15)"
hbase.client.keyvalue.maxsize,"(30493.16, 30623.79, 30635.26)","(1849.90, 1840.46, 1726.14)","(1912.68, 1825.89, 1890.39)"
hbase.server.keyvalue.maxsize,"(32420.54, 31774.22, 32024.92)","(1752.50, 1782.24, 1757.50)","(1837.90, 1851.69, 1865.88)"
hbase.client.scanner.timeout.period,"(31929.23, 31100.91, 31668.15)","(1749.46, 1805.26, 1757.60)","(1836.53, 1847.54, 1885.53)"
hbase.client.localityCheck.threadPoolSize,"(31615.43, 30919.89, 30942.98)","(1714.81, 1833.32, 1736.08)","(1885.34, 1871.67, 1856.02)"
hbase.bulkload.retries.number,"(31223.71, 31091.60, 30885.81)","(1719.09, 1805.84, 1720.05)","(1900.68, 1882.45, 1887.95)"
hbase.compaction.after.bulkload.enable,"(30757.38, 30785.98)","(1789.89, 1767.86)","(1775.94, 1897.11)"
hbase.master.balancer.maxRitPercent,"(32081.32, 30407.57, 31052.71)","(1833.32, 1810.90, 1754.81)","(1777.80, 1781.64, 1820.17)"
hbase.balancer.period,"(32450.76, 30750.46, 29994.17)","(1810.85, 1777.49, 1771.34)","(1878.49, 1859.70, 1865.89)"
hbase.regions.slop,"(30769.67, 31223.88, 30850.54)","(1818.49, 1757.60, 1764.63)","(1958.61, 1944.03, 1896.07)"
hbase.normalizer.period,"(32063.31, 30941.39, 30538.11)","(1840.93, 1804.01, 1758.80)","(1851.66, 1855.27, 1856.67)"
hbase.normalizer.split.enabled,"(32507.40, 31745.10)","(1721.50, 1831.94)","(1861.94, 1864.09)"
hbase.normalizer.merge.enabled,"(31286.26, 31255.19)","(1761.57, 1765.06)","(1881.75, 1874.09)"
hbase.normalizer.merge.min.region.count,"(30963.04, 30971.59, 31029.06)","(1852.50, 1775.70, 1746.61)","(1879.66, 1877.46, 1862.62)"
hbase.normalizer.merge.min_region_age.days,"(29757.03, 31430.48, 30727.89)","(1749.20, 1760.49, 1751.40)","(1849.75, 1864.94, 1879.00)"
hbase.normalizer.merge.min_region_size.mb,"(31668.43, 30881.87, 30756.63)","(1775.19, 1777.27, 1775.95)","(1957.67, 1935.33, 1939.63)"
hbase.table.normalization.enabled,"(32254.44, 30171.48)","(1762.77, 1770.92)","(1924.03, 1833.50)"
hbase.server.thread.wakefrequency,"(31362.80, 31300.19, 31335.94)","(1572.33, 1828.86, 1900.83)","(1830.95, 1901.97, 1871.59)"
hbase.server.versionfile.writeattempts,"(31675.04, 30613.00, 31051.47)","(1790.44, 1773.23, 1788.06)","(1946.82, 1913.68, 1905.01)"
hbase.hregion.memstore.flush.size,"(30967.49, 31019.61, 31041.55)","(1766.50, 1769.34, 1782.63)","(1885.14, 1874.18, 1869.84)"
hbase.hregion.percolumnfamilyflush.size.lower.bound.min,"(30828.67, 31011.00, 30881.73)","(1865.93, 1794.44, 1732.76)","(1808.65, 1916.98, 1907.79)"
hbase.hregion.preclose.flush.size,"(31555.67, 31478.57, 31170.61)","(1768.10, 1771.46, 1777.95)","(1925.71, 1897.75, 1895.23)"
hbase.hregion.memstore.block.multiplier,"(30927.12, 30986.35, 31055.64)","(1860.71, 1850.85, 1839.74)","(1910.98, 1907.71, 1888.41)"
hbase.hregion.memstore.mslab.enabled,"(30782.23, 30820.60)","(1795.27, 1789.34)","(1857.28, 1878.97)"
hbase.hregion.memstore.mslab.chunksize,"(31855.20, 31254.85, 31028.83)","(1769.55, 1777.75, 1780.30)","(1782.33, 1842.43, 1818.98)"
hbase.regionserver.offheap.global.memstore.size,"(31992.77, 31421.59, 30474.01)","(1809.79, 1793.03, 1751.01)","(1900.24, 1865.09, 1857.71)"
hbase.hregion.memstore.mslab.max.allocation,"(30870.20, 30961.94, 31089.05)","(1776.16, 1777.09, 1776.64)","(1873.92, 1867.79, 1864.27)"
hbase.hregion.max.filesize,"(29472.08, 31529.16, 30339.98)","(1861.55, 1744.22, 1708.85)","(1845.53, 1847.45, 1856.93)"
hbase.hregion.split.overallfiles,"(30045.26, 31383.76)","(1700.30, 1704.30)","(1836.22, 1843.03)"
hbase.hregion.majorcompaction,"(32169.26, 31834.72, 30993.91)","(1811.41, 1789.07, 1781.26)","(1828.71, 1845.33, 1878.11)"
hbase.hregion.majorcompaction.jitter,"(29680.36, 30120.18, 30923.82)","(1695.73, 1835.77, 1819.62)","(1813.32, 1873.28, 1854.46)"
hbase.hstore.compactionThreshold,"(31937.31, 31164.19, 31226.29)","(1786.41, 1775.44, 1771.13)","(1775.29, 1787.43, 1820.64)"
hbase.regionserver.compaction.enabled,"(29595.29, 32078.91)","(1806.65, 1783.09)","(1824.02, 1896.22)"
hbase.hstore.flusher.count,"(31170.53, 30913.86, 30969.21)","(1784.07, 1773.66, 1774.48)","(1867.07, 1868.29, 1867.65)"
hbase.hstore.blockingStoreFiles,"(30842.53, 30935.97, 30858.04)","(1690.54, 1822.43, 1747.93)","(1802.12, 1825.15, 1810.08)"
hbase.hstore.blockingWaitTime,"(31502.85, 30796.78, 30776.17)","(1702.28, 1801.61, 1791.56)","(1865.03, 1865.89, 1869.02)"
hbase.hstore.compaction.min,"(30913.89, 31021.19, 31114.74)","(1764.38, 1781.88, 1785.14)","(1886.25, 1876.77, 1884.82)"
hbase.hstore.compaction.max,"(31053.80, 31012.87, 31000.46)","(1829.96, 1803.19, 1773.55)","(1874.51, 1873.06, 1868.22)"
hbase.hstore.compaction.min.size,"(37048.93, 33239.41, 29134.20)","(1644.74, 1811.63, 1682.54)","(1785.16, 1858.52, 1940.17)"
hbase.hstore.compaction.max.size,"(0.00, 58450.20, 35446.60)","(0.00, 1960.45, 47.64)","(32000.00, 13291.39, 12677.68)"
hbase.hstore.compaction.ratio,"(nan, nan, 'nan')","(1600.00, 1789.78, 1724.68)","(1792.43, 1831.47, 1821.89)"
hbase.hstore.compaction.ratio.offpeak,"(31630.18, 31478.86, 30645.03)","(1859.80, 1773.33, 1751.23)","(1831.05, 1888.18, 1869.08)"
hbase.hstore.time.to.purge.deletes,"(32433.19, 30050.26, 30063.97)","(1779.19, 1777.02, 1778.55)","(1811.32, 1852.88, 1882.04)"
hbase.offpeak.start.hour,"(30091.96, 31431.67, 30614.93)","(1723.26, 1787.31, 1763.99)","(1845.99, 1852.94, 1859.44)"
hbase.offpeak.end.hour,"(31117.03, 31038.11, 31079.56)","(1775.90, 1778.67, 1779.86)","(1869.45, 1867.75, 1869.07)"
hbase.regionserver.thread.compaction.throttle,"(31412.75, 31412.42, 31303.68)","(1722.11, 1822.87, 1722.33)","(1793.71, 1817.40, 1798.69)"
hbase.regionserver.majorcompaction.pagecache.drop,"(30280.61, 30954.19)","(1716.78, 1757.60)","(1927.47, 1865.59)"
hbase.regionserver.minorcompaction.pagecache.drop,"(31437.20, 31415.60)","(1723.05, 1784.95)","(1930.24, 1849.85)"
hbase.hstore.compaction.kv.max,"(30447.19, 30673.43, 31194.16)","(1782.15, 1780.04, 1778.72)","(1784.92, 1907.15, 1824.97)"
hbase.storescanner.parallel.seek.enable,"(30546.98, 31095.64)","(1840.33, 1720.09)","(1797.93, 1866.04)"
hbase.storescanner.parallel.seek.threads,"(29908.18, 30927.12, 31918.00)","(1731.97, 1746.48, 1753.09)","(1814.36, 1882.51, 1855.19)"
hfile.block.cache.policy,"(31291.22, 30877.58, 31101.37, 30921.86, 30870.96, 30895.52)","(1762.92, 1773.67, 1770.34, 1765.88, 1777.70, 1771.44)","(1885.98, 1884.66, 1867.92, 1852.80, 1879.34, 1873.01)"
hfile.block.cache.size,"(0.00, 38027.71, 15478.08)","(1712.08, 1819.96, 1803.91)","(1813.16, 1823.95, 1871.85)"
hfile.block.index.cacheonwrite,"(31847.99, 31268.72)","(1536.10, 1812.81)","(1841.30, 1857.76)"
hfile.index.block.max.size,"(34587.03, 31768.70, 27675.05)","(1719.95, 1827.88, 1745.01)","(1889.58, 1879.78, 1883.14)"
hbase.bucketcache.ioengine,"(32559.95, 31026.50, 31801.23)","(1852.19, 1820.38, 1751.68)","(1878.91, 1861.18, 1872.06)"
hbase.hstore.compaction.throughput.lower.bound,"(30653.90, 30804.22, 30770.27)","(1815.82, 1778.57, 1800.79)","(39108.33, -29548.78, 33031.22)"
hbase.hstore.compaction.throughput.higher.bound,"(30796.96, 30935.79, 31074.82)","(1846.47, 1791.84, 1714.54)","(1907.50, 1851.58, 1871.17)"
hbase.bucketcache.size,"(30948.71, 31053.69, 31027.49)","(1776.59, 1778.26, 1777.38)","(1857.16, 1879.50, 1869.20)"
hbase.bucketcache.bucket.sizes,"(35117.47, 26944.24, 30069.35)","(1582.28, 1960.43, 1747.44)","(1875.22, 1862.57, 1864.63)"
hfile.format.version,"(0.00, 26853.91, 38720.46)","(1699.49, 1830.16, 1811.11)","(41946.31, -31536.65, 36148.67)"
hfile.block.bloom.cacheonwrite,"(32355.44, 29855.80)","(1699.23, 1805.35)","(1928.75, 1819.90)"
io.storefile.bloom.block.size,"(29774.58, 31682.61, 31378.01)","(1767.09, 1783.65, 1780.06)","(1898.16, 1890.59, 1882.72)"
hbase.rs.cacheblocksonwrite,"(29961.25, 31166.12)","(1729.78, 1794.75)","(1877.41, 1874.53)"
hbase.rpc.timeout,"(30847.28, 30878.96, 30866.86)","(1784.65, 1775.68, 1782.79)","(1877.08, 1870.87, 1866.25)"
hbase.client.operation.timeout,"(30990.68, 31041.86, 31003.92)","(1778.93, 1777.05, 1777.17)","(1872.06, 1870.55, 1869.10)"
hbase.cells.scanned.per.heartbeat.check,"(31671.26, 30681.80, 30679.96)","(1811.06, 1756.78, 1800.52)","(1958.87, 1830.82, 1888.70)"
hbase.rpc.shortoperation.timeout,"(31013.06, 31019.21, 31019.79)","(1772.71, 1775.28, 1782.54)","(1861.83, 1865.18, 1874.45)"
hbase.ipc.client.tcpnodelay,"(31322.70, 31114.57)","(1780.97, 1775.31)","(1863.01, 1866.89)"
hbase.unsafe.regionserver.hostname,"(30609.71, 30934.91, 30715.61)","(1788.77, 1783.85, 1769.77)","(1901.80, 1838.65, 1899.82)"
hbase.unsafe.regionserver.hostname.disable.master.reversedns,"(31524.41, 31254.43)","(1797.30, 1789.81)","(1944.69, 1876.79)"
hbase.master.keytab.file,"(30288.07, 31244.99, 30488.44)","(1765.55, 1787.18, 1767.19)","(1856.15, 1870.00, 1872.66)"
hbase.master.kerberos.principal,"(30732.41, 31065.70, 30885.71)","(1782.00, 1776.47, 1776.63)","(1879.92, 1858.75, 1874.08)"
hbase.regionserver.keytab.file,"(29561.73, 31330.36, 30256.42)","(1759.03, 1796.09, 1780.11)","(1910.69, 1880.78, 1881.11)"
hbase.regionserver.kerberos.principal,"(30935.96, 31005.47, 31069.42)","(1766.58, 1782.92, 1768.73)","(1870.62, 1867.44, 1868.70)"
hadoop.policy.file,"(30188.19, 31270.54, 31779.29)","(1706.83, 1800.20, 1807.18)","(1840.92, 1864.62, 1848.10)"
hbase.superuser,"(32299.98, 30369.09, 30126.78)","(1777.94, 1777.93, 1777.93)","(1956.22, 1781.38, 1852.32)"
hbase.auth.key.update.interval,"(37034.33, 36981.88, 27483.39)","(1851.62, 1843.69, 1831.80)","(1961.45, 1924.60, 1923.88)"
hbase.auth.token.max.lifetime,"(29858.19, 30617.27, 31138.56)","(1814.15, 1787.98, 1802.66)","(1814.47, 1869.19, 1817.05)"
hbase.ipc.client.fallback-to-simple-auth-allowed,"(30117.46, 31015.98)","(1693.34, 1776.08)","(1858.90, 1859.66)"
hbase.ipc.server.fallback-to-simple-auth-allowed,"(31136.08, 30953.89)","(1847.65, 1741.38)","(1879.02, 1869.50)"
hbase.unsafe.client.kerberos.hostname.disable.reversedns,"(31315.54, 30906.84)","(1787.62, 1771.69)","(1884.43, 1882.33)"
hbase.display.keys,"(30725.41, 30894.32)","(1775.81, 1776.88)","(1895.03, 1851.69)"
hbase.coprocessor.enabled,"(31441.65, 30820.91)","(1829.18, 1791.36)","(1829.89, 1866.28)"
hbase.coprocessor.user.enabled,"(30992.14, 31023.91)","(1698.15, 1826.71)","(1855.90, 1876.73)"
hbase.coprocessor.region.classes,"(32564.92, 30354.87, 31758.83)","(1734.76, 1738.07, 1797.00)","(1912.58, 1846.66, 1833.97)"
hbase.coprocessor.master.classes,"(31195.88, 31184.47, 31184.37)","(1756.36, 1763.35, 1778.93)","(1866.71, 1867.74, 1869.29)"
hbase.coprocessor.abortonerror,"(31746.49, 30829.40)","(1706.29, 1825.22)","(1847.95, 1868.22)"
hbase.rest.port,"(30780.58, 30865.05, 31034.55)","(1695.72, 1831.28, 1765.45)","(1961.11, 1861.06, 1856.41)"
hbase.rest.readonly,"(31426.27, 31026.86)","(1843.50, 1735.21)","(1799.42, 1811.44)"
hbase.rest.threads.max,"(39200.31, 30114.17, 24053.57)","(1811.74, 1808.05, 1762.47)","(32133.68, 19185.62, 17896.46)"
hbase.rest.threads.min,"(31617.49, 30864.92, 30668.57)","(1745.43, 1769.31, 1749.87)","(1911.52, 1857.20, 1888.52)"
hbase.rest.support.proxyuser,"(30765.09, 30772.95)","(1801.97, 1772.50)","(1876.06, 1861.07)"
hbase.defaults.for.version,"(30382.39, 31327.37, 30442.40)","(1780.01, 1779.56, 1778.77)","(1834.24, 1834.62, 1855.07)"
hbase.defaults.for.version.skip,"(30284.38, 30903.84)","(1783.11, 1776.97)","(1836.01, 1890.86)"
hbase.table.lock.enable,"(31325.82, 30842.48)","(1481.48, 1589.65)","(1875.53, 1866.48)"
hbase.table.max.rowsize,"(31014.67, 31017.19, 31016.91)","(1850.50, 1752.23, 1799.64)","(1867.61, 1868.96, 1868.18)"
hbase.thrift.minWorkerThreads,"(32402.16, 30241.35, 31532.39)","(1824.36, 1762.94, 1819.76)","(1882.58, 1881.53, 1861.08)"
hbase.thrift.maxWorkerThreads,"(30020.10, 30859.01, 30353.85)","(1822.13, 1752.23, 1741.96)","(1873.29, 1864.62, 1867.79)"
hbase.thrift.maxQueuedRequests,"(31280.99, 31195.57, 31091.10)","(1772.19, 1782.58, 1777.60)","(1886.33, 1881.94, 1861.25)"
hbase.regionserver.thrift.framed,"(30502.83, 31339.06)","(1832.34, 1783.94)","(1823.22, 1857.20)"
hbase.regionserver.thrift.framed.max_frame_size_in_mb,"(30297.70, 31626.98, 31553.52)","(1755.21, 1791.46, 1789.53)","(1944.81, 1894.91, 1926.87)"
hbase.regionserver.thrift.compact,"(31116.75, 31055.15)","(1849.76, 1823.13)","(1816.63, 1885.82)"
hbase.rootdir.perms,"(31645.12, 30793.42, 30566.70)","(1748.13, 1757.62, 1752.25)","(1849.90, 1854.64, 1884.46)"
hbase.wal.dir.perms,"(30333.94, 30590.26, 30947.36)","(1707.90, 1834.43, 1819.66)","(1864.41, 1867.17, 1871.27)"
hbase.data.umask.enable,"(30908.82, 31067.48)","(1814.17, 1755.06)","(1903.67, 1884.29)"
hbase.data.umask,"(29839.67, 31586.06, 31781.09)","(1738.10, 1768.93, 1788.69)","(1836.72, 1850.76, 1885.16)"
hbase.snapshot.enabled,"(32251.02, 29997.94)","(1704.71, 1820.98)","(1802.03, 1834.22)"
hbase.snapshot.restore.take.failsafe.snapshot,"(30308.46, 31451.83)","(1690.99, 1777.97)","(1847.08, 1850.81)"
hbase.snapshot.restore.failsafe.name,"(31465.83, 30766.34, 31442.56)","(1856.30, 1731.97, 1838.19)","(1795.70, 1941.14, 1914.48)"
hbase.snapshot.working.dir,"(30938.32, 30948.34, 30960.47)","(1788.36, 1784.40, 1776.60)","(1867.45, 1869.32, 1868.40)"
hbase.server.compactchecker.interval.multiplier,"(31013.85, 31015.13, 31014.21)","(1785.66, 1779.76, 1773.12)","(1895.26, 1873.96, 1864.38)"
hbase.lease.recovery.timeout,"(31647.45, 31371.26, 31502.12)","(1778.96, 1778.64, 1776.87)","(1864.78, 1871.22, 1865.32)"
hbase.lease.recovery.dfs.timeout,"(32396.89, 30656.62, 30526.37)","(1700.75, 1772.51, 1821.90)","(1838.51, 1876.61, 1883.05)"
hbase.column.max.version,"(31157.38, 31029.49, 30937.91)","(1807.79, 1767.72, 1770.97)","(1959.89, 1779.82, 1890.99)"
dfs.client.read.shortcircuit,"(0.00, 61781.92, 13124.04)","(1690.15, 1773.27, 1823.53)","(1789.44, 1841.57, 1842.47)"
dfs.domain.socket.path,"(31305.97, 31272.97, 31019.59)","(1746.94, 1747.76, 1767.81)","(1877.13, 1860.78, 1875.94)"
hbase.dfs.client.read.shortcircuit.buffer.size,"(36401.75, 35743.91, 29293.40)","(1756.82, 1796.68, 1791.39)","(1937.66, 1859.75, 1856.74)"
hbase.regionserver.checksum.verify,"(31200.47, 31011.03)","(1847.08, 1826.25)","(1883.29, 1876.90)"
hbase.hstore.bytes.per.checksum,"(32230.35, 31502.98, 30941.03)","(1805.70, 1801.93, 1768.77)","(1882.78, 1873.81, 1864.93)"
hbase.hstore.checksum.algorithm,"(31673.73, 30869.90, 30685.12)","(1773.68, 1777.95, 1780.82)","(1881.67, 1877.25, 1865.46)"
hbase.client.scanner.max.result.size,"(30672.22, 31329.38, 31290.84)","(1861.21, 1857.03, 1753.50)","(1947.35, 1839.38, 1879.87)"
hbase.server.scanner.max.result.size,"(31922.72, 30430.13, 31358.04)","(1862.44, 1731.24, 1772.09)","(1840.75, 1885.20, 1874.19)"
hbase.status.published,"(31118.88, 30986.61)","(1794.33, 1780.27)","(1806.92, 1908.63)"
hbase.status.publisher.class,"(30302.11, 31305.54, 30419.29)","(1719.19, 1737.88, 1817.27)","(1815.06, 1846.79, 1871.55)"
hbase.status.listener.class,"(31188.76, 31053.45, 31048.44)","(1803.82, 1753.25, 1784.67)","(1957.92, 1900.51, 1794.87)"
hbase.status.multicast.address.ip,"(31142.28, 30923.95, 30945.66)","(1837.05, 1816.39, 1818.17)","(1925.41, 1833.14, 1856.23)"
hbase.status.multicast.address.port,"(32163.22, 30721.44, 29919.97)","(1737.34, 1800.94, 1758.26)","(1881.23, 1868.31, 1871.73)"
hbase.dynamic.jars.dir,"(30120.10, 30340.95, 30558.06)","(1793.84, 1766.00, 1791.09)","(1839.44, 1876.50, 1867.03)"
hbase.security.authentication,(0.00),"(1809.42, 1757.34, 1802.48, 1789.82, 1777.37, 1776.44)","(31938.68, 14955.89, 6468.43, 18542.13, 15045.17, 23046.93)"
hbase.rest.filter.classes,"(31535.75, 30519.87, 30905.32, 31215.42, 31002.46, 30707.53)","(1710.42, 1787.38, 1811.62, 1767.98, 1793.02, 1793.76)","(1944.27, 1889.59, 1806.41, 1870.61, 1829.03, 1885.55)"
hbase.master.loadbalancer.class,"(30876.71, 31075.30, 31115.48)","(1791.06, 1764.99, 1777.42)","(1852.73, 1871.19, 1875.99)"
hbase.master.loadbalance.bytable,"(29480.36, 29949.29)","(1813.33, 1784.22)","(1929.23, 1875.57)"
hbase.master.normalizer.class,"(30180.35, 31312.92, 30462.97)","(1770.50, 1784.19, 1784.92)","(1872.22, 1867.42, 1869.73)"
hbase.rest.csrf.enabled,"(32186.53, 30949.91)","(1711.77, 1827.64)","(1787.65, 1880.66)"
hbase.rest-csrf.browser-useragents-regex,"(31308.38, 31115.09, 31147.76)","(1813.36, 1812.81, 1786.29)","(1836.78, 1871.64, 1856.61)"
hbase.security.exec.permission.checks,"(29726.84, 30011.61)","(1731.49, 1763.45)","(1820.25, 1914.80)"
hbase.procedure.regionserver.classes,"(31721.51, 31298.77, 30492.39)","(1761.51, 1770.17, 1770.03)","(1848.87, 1870.55, 1851.99)"
