name,Apache-bench-10000-100,Apache-bench-10000-1000,jmeter1
server.pid-file,"(6210.69, 6175.21, 5768.00)","(3921.21, 3957.34, 4021.33)","(2988.28, 2984.48, 2985.24)"
server.max-worker,"(5058.93, 5750.88, 6035.98)","(4053.25, 4092.66, 3975.24)","(3072.44, 2943.76, 2942.41)"
server.max-fds,"(5786.59, 6316.09, 6309.71)","(4070.73, 3829.80, 3852.18)","(2920.05, 2925.58, 2951.98)"
server.max-connections,"(7291.06, 6341.73, 6066.79)","(6110.68, 4010.73, 3889.50)","(2982.26, 2988.14, 2986.78)"
server.max-request-field-size,"(48674.59, 5949.99, 5909.18)","(39540.85, 4039.04, 3980.63)","(2964.32, 3006.87, 2970.84)"
server.chunkqueue-chunk-sz,"(6088.69, 5814.68, 6149.47)","(4119.06, 3891.30, 4180.46)","(3011.77, 2969.21, 3010.63)"
server.upload-temp-file-size,"(5907.75, 5974.61, 5983.09)","(3851.37, 3888.07, 4053.08)","(2913.05, 3026.40, 2970.14)"
server.upload-dirs,"(5782.16, 6254.15, 6136.24)","(3853.91, 3914.39, 3907.68)","(2895.62, 2915.46, 2904.04)"
server.http-parseopts,"(6282.08, 6128.13, 6138.48, 5833.35, 6307.87, 6234.20)","(3861.40, 4167.63, 3800.44, 3822.98, 4119.83, 3907.67)","(2922.34, 2979.21, 3031.88, 2926.81, 3037.61, 3028.54)"
server.http-parseopt-header-strict,"(5794.13, 6195.44)","(4000.84, 3816.21)","(2904.95, 2927.82)"
server.http-parseopt-host-strict,"(6007.61, 5755.69)","(4049.83, 3917.96)","(3089.36, 2898.03)"
server.http-parseopt-host-normalize,"(5782.25, 6229.36)","(3800.66, 4159.64)","(2918.10, 3011.12)"
server.reject-expect-100-with-417,"(6088.46, 5802.90)","(4143.52, 4143.63)","(3049.82, 2969.10)"
server.stat-cache-engine,"(6713.93, 6264.82, 6178.10)","(4025.73, 3970.52, 4057.50)","(3404.24, 2587.32, 2628.95)"
mimetype.xattr-name,"(6074.62, 5967.40, 6002.70)","(4105.99, 3814.60, 3818.64)","(3015.87, 3007.99, 2969.23)"
server.feature-flags,"(6156.57, 6006.99, 5881.92, 6179.80, 6166.33, 5903.10)","(3950.57, 3990.33, 3897.39, 3901.08, 4109.06, 4066.02)","(2940.94, 2997.87, 2984.27, 3013.60, 2955.95, 2943.18)"
server.listen-backlog,"(6330.83, 6282.34, 5749.22)","(4144.87, 3853.38, 4012.62)","(3105.09, 2916.04, 3078.52)"
server.bsd-accept-filter,"(7143.99, 5984.33, 6015.73)","(4150.67, 4125.33, 3844.04)","(2994.15, 2984.25, 2979.44)"
server.defer-accept,"(6353.58, 6073.59)","(4125.83, 4019.02)","(2876.78, 3006.77)"
server.use-ipv6,"(6246.16, 'timeout')","(4171.35, 'timeout')","(4000.00, 3773.44)"
server.v4mapped,"(6018.47, 5747.45)","(4060.74, 4150.16)","(2914.85, 3005.52)"
server.socket-perms,"(6154.86, 6147.82, 5980.19)","(3919.94, 3811.52, 3904.54)","(2908.71, 3008.64, 3037.31)"
