name,HiBench-micro.sort,HiBench-micro.terasort,HiBench-micro.wordcount
nfs.kerberos.principal,"(375.00, 372.00, 375.00)","(262568.00, 255492.00, 256373.00)","(402.00, 384.00, 394.00)"
nfs.allow.insecure.ports,"(380.00, 370.00)","(257956.00, 258401.00)","(386.00, 388.00)"
hadoop.fuse.connection.timeout,"(389.00, 386.00, 378.00)","(264484.00, 257296.00, 262562.00)","(397.00, 391.00, 389.00)"
dfs.data.transfer.saslproperties.resolver.class,"(377.00, 377.00, 371.00)","(258695.00, 258514.00, 258652.00)","(395.00, 391.00, 382.00)"
dfs.datanode.hdfs-blocks-metadata.enabled,"(379.00, 371.00)","(250277.00, 251767.00)","(403.00, 398.00)"
dfs.client.file-block-storage-locations.num-threads,"(376.00, 375.00, 375.00)","(257605.00, 259385.00, 257927.00)","(386.00, 389.00, 387.00)"
dfs.client.file-block-storage-locations.timeout.millis,"(374.00, 374.00, 373.00)","(266326.00, 256170.00, 265618.00)","(374.00, 385.00, 390.00)"
dfs.client.mmap.cache.size,"(375.00, 373.00, 373.00)","(257895.00, 258708.00, 257971.00)","(392.00, 391.00, 391.00)"
dfs.client.mmap.retry.timeout.ms,"(381.00, 375.00, 370.00)","(256033.00, 260237.00, 257003.00)","(375.00, 390.00, 389.00)"
dfs.client.short.circuit.replica.stale.threshold.ms,"(360.00, 367.00, 373.00)","(248875.00, 257709.00, 255667.00)","(370.00, 389.00, 391.00)"
dfs.namenode.edit.log.autoroll.multiplier.threshold,"(384.00, 371.00, 376.00)","(257941.00, 259179.00, 259090.00)","(389.00, 389.00, 389.00)"
dfs.webhdfs.user.provider.user.pattern,"(374.00, 374.00, 374.00)","(271428.00, 260859.00, 251200.00)","(384.00, 388.00, 386.00)"
dfs.domain.socket.path,"(361.00, 366.00, 365.00)","(264274.00, 260297.00, 253072.00)","(378.00, 391.00, 391.00)"
dfs.datanode.shared.file.descriptor.paths,"(379.00, 376.00, 374.00)","(259208.00, 258536.00, 258832.00)","(390.00, 389.00, 389.00)"
dfs.client.use.legacy.blockreader.local,"(369.00, 373.00)","(265144.00, 258139.00)","(380.00, 381.00)"
dfs.client.domain.socket.data.traffic,"(361.00, 379.00)","(317650.00, 315674.00)","(396.00, 384.00)"
dfs.encryption.key.provider.uri,"(374.00, 373.00, 373.00)","(258198.00, 258832.00, 258909.00)","(385.00, 385.00, 390.00)"
dfs.datanode.block-pinning.enabled,"(372.00, 373.00)","(268334.00, 257007.00)","(379.00, 386.00)"
dfs.replication.min,"(374.00, 373.00, 374.00)","(246054.00, 260436.00, 266863.00)","(401.00, 379.00, 383.00)"
